Auto_Date,Auto_Time,Form_No,Entry_Personnel,Filled_Date,FIR_No,Police_Station,Time_Of_Crash,Date_Of_Crash,Collision_Type,Hit_and_Run,Special_Case,Case File Available,Crash_Severity,No_Of_ Fatalities,No_Of_ Injured,No_Of_Vehicles,Location,Road_Type,Road_1,Road_2,Road_3,GPS_Lat,GPS_Long,Note,No_of_Lanes,Curb_Type,Shoulder_Type,Median_Type,Light_Condition,Weather_Condition,Crash_ID,Distance_From_Landmark,Text97,Veh_Rel_Travel_Dir
25-08-2022,11:17 AM,210069,Anisha,26-Apr-22,0069,2,22:47,15-02-2021,Right Angle Crash,FALSE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,,"Tajpur Road, Singhu Village",Delhi,,29,77,The motorcycle was hit on the left side by a truck and the pillion rider came under back side of the truck's tyre and the rider fall down. The pillion rider was declared brought dead by the doctor after they reached hospital.,,,,,,,3446,4,North-East,Perpendicular Direction
25-08-2022,11:17 AM,210099,Anisha,26-Apr-22,0099,2,23:00,07-03-2021,Right Angle Crash,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Towards Jindpur Flyover,"G.T.K Road, Singhu Border",Alipur Delhi,29,77,"Due to the U-turn of an unknown vehicle, the motorcyclist got hit by an unknown vehicle and the driver got injured and was taken to the hospital by PCR van and was declared brought dead by the doctor.",,,,,,,3447,3,North-East,Perpendicular Direction
25-08-2022,11:17 AM,210108,Anisha,26-Apr-22,0108,2,20:40,12-03-2021,Backend Collision,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Before Khera Underpass,Khera Nagli Road,Delhi,29,77,A truck hit the motorcyclist due to which the rider and motorcycle came in front of the tyre at the back side of the truck. The motorcyclist was dead at the spot.,,,,,,,3448,2,North-east,Same Direction
25-08-2022,11:17 AM,210109,Anisha,26-Apr-22,0109,2,23:07,13-03-2021,Backend Collision,FALSE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,"Near Red light, Kham Pur Village",Shani Mandir,Delhi,29,77,A speeding Ertiga car hitted the White Swift Dzire car which was in front of Ertiga car. The driver of Ertiga car was injured and was declared brought dead by the doctor and the the driver of Swift Dzire got no injury.,,,,,,,3449,3,North,Same Direction
25-08-2022,11:17 AM,210142,Anisha,26-Apr-22,0142,2,00:41,29-03-2021,Unknown,FALSE,FALSE,FALSE,Non Fatal Crash without Permanent Injury,1,3,1,Unknown,,Bypass Singhu Border,Jain mandir,,29,77,A car was found in an accidental state on the road and there were 3 people who got injured and were in hospital.,,,,,,,3450,4,North-East,Unknown
25-08-2022,11:17 AM,210145,Anisha,26-Apr-22,0145,2,10:10,03-04-2021,Head on Collision,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Holambi Road,Near Minda Bal Farm,,29,77,"The motorcyclist was hitted by a crane in which a generator was tied up which fall upon the motorcycle and the motorcyclist., due to which he died on the spot and the crane driver ran away from the site.",,,,,,,3451,5,North,Opposite Direction
25-08-2022,11:17 AM,210376,Anisha,26-Apr-22,0376,2,20:40,24-05-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,GT Road from Delhi to Karnal,Near Sai Baba Mandir,"Alipur, Delhi",29,77,The victim was taken to the hospital by Rajmohmad where the victim was declared brought dead by the doctor.,,,,,,,3452,1,South,Unknown
25-08-2022,11:17 AM,210428,Anisha,26-Apr-22,0428,2,17:17,08-06-2021,Unknown,FALSE,FALSE,FALSE,,1,0,2,Unknown,,"Bakhtawarpur, Hiranki Road",,,29,77,A tempo and a car was found upside down at the crash spot. The victim was taken to the hospital by a person named Jogendra but was declared brought dead by the doctor.,,,,,,,3453,5,North,Unknown
25-08-2022,11:17 AM,210555,Anisha,26-Apr-22,0555,2,17:40,11-07-2021,Unknown,FALSE,FALSE,FALSE,Unknown,1,3,1,Unknown,,In front of MH-1 Farm House,G.T.K Service Road,,29,77,A Maruti car was found on the road in which a person was hanged out on the front seat from the window and his head side was laid out on the road. Later he was declared brought dead by the doctor at the hospital.,,,,,,,3454,55,North-East,Unknown
25-08-2022,11:17 AM,210579,Anisha,26-Apr-22,0579,2,23:36,17-07-2021,Hit Pedestrian,FALSE,FALSE,FALSE,Fatal Crash,1,4,1,Unknown,,In Front Of Lavanya Hotel,"Bhaktawarpur, Alipur",Delhi,29,77,The Car driver who was drunk hitted 5 pedestrian on the road due to which one of them died and other 4 were injured.,,,,,,,3455,4,West,Same Direction
